Date,"5 YR","7 YR","10 YR","20 YR","30 YR"
05/03/2024,2.13,2.14,2.15,2.24,2.31
05/02/2024,2.20,2.20,2.21,2.30,2.37
05/01/2024,2.25,2.25,2.25,2.33,2.38
04/30/2024,2.29,2.29,2.28,2.35,2.41
04/29/2024,2.22,2.22,2.22,2.30,2.36
04/26/2024,2.24,2.24,2.24,2.32,2.38
04/25/2024,2.27,2.27,2.28,2.36,2.42
04/24/2024,2.22,2.23,2.24,2.34,2.41
04/23/2024,2.19,2.19,2.20,2.30,2.38
04/22/2024,2.21,2.21,2.21,2.30,2.36
04/19/2024,2.22,2.21,2.21,2.29,2.36
04/18/2024,2.24,2.24,2.24,2.32,2.38
04/17/2024,2.15,2.17,2.20,2.30,2.36
04/16/2024,2.17,2.20,2.24,2.34,2.40
04/15/2024,2.13,2.16,2.20,2.30,2.37
04/12/2024,2.07,2.08,2.11,2.21,2.27
04/11/2024,2.13,2.14,2.16,2.25,2.31
04/10/2024,2.12,2.13,2.15,2.23,2.29
04/09/2024,1.93,1.96,2.00,2.10,2.18
04/08/2024,1.96,1.99,2.04,2.15,2.22
04/05/2024,1.93,1.97,2.02,2.14,2.22
04/04/2024,1.88,1.92,1.97,2.09,2.17
04/03/2024,1.91,1.95,2.00,2.12,2.20
04/02/2024,1.91,1.95,2.00,2.11,2.19
04/01/2024,1.93,1.95,1.98,2.09,2.17
03/28/2024,1.83,1.85,1.88,1.99,2.07
03/27/2024,1.81,1.84,1.88,2.00,2.09
03/26/2024,1.84,1.88,1.92,2.05,2.13
03/25/2024,1.82,1.86,1.92,2.05,2.14
03/22/2024,1.79,1.83,1.87,2.01,2.10
03/21/2024,1.83,1.87,1.93,2.06,2.14
03/20/2024,1.85,1.90,1.96,2.08,2.17
03/19/2024,1.93,1.96,2.00,2.10,2.18
03/18/2024,1.97,1.99,2.03,2.12,2.19
03/15/2024,1.94,1.96,1.99,2.09,2.16
03/14/2024,1.92,1.95,1.99,2.10,2.17
03/13/2024,1.82,1.85,1.89,2.01,2.08
03/12/2024,1.80,1.83,1.86,1.98,2.05
03/11/2024,1.76,1.79,1.83,1.94,2.02
03/08/2024,1.72,1.76,1.81,1.93,2.01
03/07/2024,1.73,1.77,1.81,1.93,2.01
03/06/2024,1.74,1.77,1.81,1.91,1.98
03/05/2024,1.74,1.77,1.81,1.91,1.98
03/04/2024,1.79,1.83,1.88,1.98,2.05
03/01/2024,1.77,1.82,1.87,1.98,2.05
02/29/2024,1.86,1.88,1.92,2.02,2.09
02/28/2024,1.88,1.91,1.94,2.05,2.12
02/27/2024,1.94,1.96,1.99,2.09,2.16
02/26/2024,1.93,1.95,1.97,2.06,2.13
02/23/2024,1.94,1.95,1.96,2.05,2.11
02/22/2024,1.96,1.98,2.02,2.12,2.19
02/21/2024,1.91,1.94,1.98,2.11,2.18
02/20/2024,1.88,1.91,1.95,2.08,2.17
02/16/2024,1.91,1.93,1.97,2.09,2.17
02/15/2024,1.87,1.90,1.94,2.07,2.16
02/14/2024,1.91,1.94,1.97,2.10,2.18
02/13/2024,1.98,1.99,2.02,2.13,2.20
02/12/2024,1.86,1.89,1.93,2.06,2.15
02/09/2024,1.86,1.89,1.92,2.05,2.13
02/08/2024,1.84,1.87,1.91,2.04,2.12
02/07/2024,1.80,1.83,1.86,2.00,2.08
02/06/2024,1.79,1.81,1.85,1.98,2.06
02/05/2024,1.87,1.88,1.90,2.01,2.09
02/02/2024,1.80,1.81,1.82,1.93,2.02
02/01/2024,1.63,1.65,1.68,1.82,1.91
01/31/2024,1.67,1.70,1.73,1.89,1.99
01/30/2024,1.75,1.77,1.80,1.94,2.04
01/29/2024,1.71,1.74,1.78,1.94,2.03
01/26/2024,1.78,1.81,1.85,2.00,2.10
01/25/2024,1.77,1.80,1.85,2.00,2.10
01/24/2024,1.83,1.85,1.88,2.02,2.11
01/23/2024,1.80,1.82,1.85,1.99,2.09
01/22/2024,1.76,1.77,1.80,1.93,2.03
01/19/2024,1.78,1.79,1.81,1.94,2.03
01/18/2024,1.76,1.77,1.80,1.95,2.05
01/17/2024,1.78,1.78,1.80,1.94,2.03
01/16/2024,1.71,1.73,1.77,1.93,2.03
01/12/2024,1.62,1.64,1.69,1.85,1.95
01/11/2024,1.72,1.73,1.76,1.89,1.98
01/10/2024,1.81,1.81,1.82,1.93,2.01
01/09/2024,1.80,1.80,1.80,1.91,1.99
01/08/2024,1.78,1.79,1.79,1.90,1.98
01/05/2024,1.83,1.83,1.83,1.94,2.02
01/04/2024,1.79,1.78,1.77,1.88,1.96
01/03/2024,1.73,1.71,1.71,1.81,1.89
01/02/2024,1.76,1.75,1.74,1.84,1.91
